Number of model parameters: 79003758
Epoch: [1][100/374]	Time 0.784 (0.906)	Loss 2.3267 (2.4518)
Epoch: [1][110/374]	Time 0.858 (0.907)	Loss 2.6271 (2.4514)
Epoch: [1][120/374]	Time 1.012 (0.903)	Loss 2.0568 (2.4449)
Epoch: [1][130/374]	Time 0.823 (0.899)	Loss 2.5323 (2.4551)
Epoch: [1][140/374]	Time 0.887 (0.900)	Loss 2.2837 (2.4581)
Epoch: [1][150/374]	Time 0.811 (0.895)	Loss 2.4415 (2.4435)
Epoch: [1][160/374]	Time 1.021 (0.893)	Loss 2.4543 (2.4415)
Epoch: [1][170/374]	Time 0.840 (0.893)	Loss 1.8593 (2.4400)
Epoch: [1][180/374]	Time 0.842 (0.891)	Loss 2.5500 (2.4369)
Epoch: [1][190/374]	Time 0.820 (0.888)	Loss 2.9174 (2.4365)
Epoch: [1][200/374]	Time 1.039 (0.889)	Loss 2.4822 (2.4252)
Epoch: [1][210/374]	Time 0.885 (0.886)	Loss 2.4098 (2.4296)
Epoch: [1][220/374]	Time 0.856 (0.882)	Loss 2.1031 (2.4290)
Epoch: [1][230/374]	Time 0.880 (0.881)	Loss 2.0192 (2.4169)
Epoch: [1][240/374]	Time 0.822 (0.883)	Loss 2.4219 (2.4179)
Epoch: [1][250/374]	Time 0.838 (0.881)	Loss 2.5376 (2.4147)
Epoch: [1][260/374]	Time 1.073 (0.881)	Loss 2.5818 (2.4136)
Epoch: [1][270/374]	Time 0.813 (0.878)	Loss 2.3302 (2.4059)
Epoch: [1][280/374]	Time 1.070 (0.881)	Loss 2.4056 (2.3994)
Epoch: [1][290/374]	Time 0.994 (0.884)	Loss 2.3270 (2.3945)
Epoch: [1][300/374]	Time 0.960 (0.887)	Loss 2.3364 (2.3906)
Epoch: [1][310/374]	Time 0.837 (0.889)	Loss 2.9552 (2.3932)
Epoch: [1][320/374]	Time 0.834 (0.888)	Loss 2.9843 (2.3942)
Epoch: [1][330/374]	Time 0.766 (0.886)	Loss 1.8135 (2.3902)
Epoch: [1][340/374]	Time 0.807 (0.884)	Loss 2.0989 (2.3849)
Epoch: [1][350/374]	Time 1.161 (0.884)	Loss 1.9883 (2.3823)
Epoch: [1][360/374]	Time 0.810 (0.882)	Loss 2.4056 (2.3778)
Epoch: [1][370/374]	Time 0.816 (0.879)	Loss 2.3475 (2.3749)
Test: [0/267]	Time 4.028 (4.028)	Loss 1.0956 (1.0956)
Test: [10/267]	Time 0.924 (1.258)	Loss 1.2333 (1.2815)
Test: [20/267]	Time 1.349 (1.170)	Loss 1.3819 (1.2414)
Test: [30/267]	Time 0.939 (1.105)	Loss 2.0069 (1.3946)
Test: [40/267]	Time 0.960 (1.071)	Loss 2.4430 (1.4569)
Test: [50/267]	Time 0.998 (1.072)	Loss 2.0867 (1.5221)
Test: [60/267]	Time 0.976 (1.054)	Loss 0.7178 (1.4943)
Test: [70/267]	Time 1.016 (1.059)	Loss 1.4602 (1.4387)
Test: [80/267]	Time 0.970 (1.045)	Loss 1.1450 (1.4234)
Test: [90/267]	Time 0.912 (1.033)	Loss 1.6462 (1.4023)
Test: [100/267]	Time 0.915 (1.041)	Loss 0.7294 (1.3635)
Test: [110/267]	Time 1.305 (1.068)	Loss 0.9886 (1.3308)
Test: [120/267]	Time 1.154 (1.079)	Loss 1.0651 (1.2965)
Test: [130/267]	Time 1.239 (1.096)	Loss 0.9577 (1.2819)
Test: [140/267]	Time 1.269 (1.106)	Loss 1.4311 (1.2952)
Test: [150/267]	Time 1.253 (1.114)	Loss 1.3362 (1.3021)
Test: [160/267]	Time 1.207 (1.120)	Loss 1.4156 (1.3321)
Test: [170/267]	Time 1.149 (1.123)	Loss 1.0872 (1.3225)
Test: [180/267]	Time 1.132 (1.134)	Loss 0.9924 (1.3126)
Test: [190/267]	Time 1.109 (1.139)	Loss 0.6038 (1.2976)
Test: [200/267]	Time 1.162 (1.142)	Loss 1.1558 (1.2834)
Test: [210/267]	Time 1.117 (1.144)	Loss 0.9841 (1.2768)
Test: [220/267]	Time 1.238 (1.147)	Loss 3.0414 (1.3082)
